Region,Crop,Rainfall,Temperature,Humidity,Soil_Type,Soil_pH,Nitrogen,Phosphorus,Potassium,Fertilizer_Used,Irrigation,Area,Season,Yield
Tashkent,Wheat,310,22.0,50,Loam,5.76,77,38,83,Yes,Yes,9.8,Spring,9.19
Andijan,Cotton,327,27.1,63,Saline,5.47,93,46,106,Yes,No,14.2,Summer,5.84
Kashkadarya,Rice,452,31.2,77,Black,6.43,94,59,120,Yes,Yes,23.6,Autumn,11.73
Surkhandarya,Corn,375,11.3,74,Black,6.73,105,69,137,Yes,Yes,30.0,Winter,11.93
Fergana,Potato,501,33.4,78,Silt,6.61,126,73,151,Yes,Yes,30.4,Spring,32.83
Kashkadarya,Barley,499,23.5,38,Sandy,7.12,137,86,171,Yes,Yes,39.8,Summer,8.45
Surkhandarya,Tomato,542,24.6,45,Sandy,7.42,121,80,164,No,No,46.2,Autumn,44.85
Fergana,Wheat,611,22.7,49,Clay,7.3,127,84,178,No,Yes,46.6,Spring,8.32
Khorezm,Cotton,628,28.8,56,Loam,7.53,58,109,219,Yes,Yes,52.0,Summer,8.59
Namangan,Rice,753,29.9,73,Loam,7.83,59,37,236,Yes,Yes,58.4,Autumn,12.31
Fergana,Corn,676,28.0,76,Saline,7.54,70,45,89,Yes,Yes,62.8,Winter,11.19
Khorezm,Potato,802,15.1,80,Black,5.42,91,54,103,Yes,No,68.2,Spring,28.53
Namangan,Barley,800,22.2,87,Black,5.72,102,64,120,Yes,Yes,74.6,Summer,8.02
Samarkand,Tomato,203,23.3,41,Silt,6.02,113,74,134,Yes,Yes,3.0,Autumn,42.91
Bukhara,Wheat,272,24.4,51,Sandy,6.11,119,81,154,Yes,Yes,6.4,Spring,8.07
Namangan,Cotton,289,31.5,58,Sandy,6.41,135,91,171,Yes,Yes,12.8,Summer,7.81
Samarkand,Rice,414,32.6,72,Clay,6.71,109,85,161,No,No,19.2,Autumn,8.13
Bukhara,Corn,337,29.7,69,Loam,6.8,147,108,202,Yes,Yes,22.6,Winter,11.72
Jizzakh,Potato,463,16.8,76,Loam,7.03,29,19,195,No,Yes,28.0,Spring,32.12
Tashkent,Barley,461,23.9,39,Saline,6.88,67,45,72,Yes,Yes,34.4,Summer,7.76
Bukhara,Tomato,504,23.0,43,Black,7.49,78,53,86,Yes,Yes,38.8,Autumn,48.32
Jizzakh,Wheat,573,26.1,50,Black,7.72,84,62,103,Yes,No,44.2,Spring,8.03
Tashkent,Cotton,590,33.2,54,Silt,5.22,73,56,93,No,Yes,50.6,Summer,7.07
Andijan,Rice,715,32.3,74,Sandy,5.38,101,80,137,Yes,Yes,55.0,Autumn,11.22
Kashkadarya,Corn,638,15.4,71,Sandy,5.89,85,77,130,No,Yes,64.4,Winter,10.16
Tashkent,Potato,764,19.5,75,Clay,5.91,133,99,168,Yes,Yes,66.8,Spring,29.82
Andijan,Barley,762,24.6,82,Loam,6.07,117,91,161,No,No,71.2,Summer,5.78
Kashkadarya,Tomato,805,28.7,39,Loam,6.58,155,38,202,Yes,Yes,2.6,Autumn,43.17
Surkhandarya,Wheat,234,32.8,52,Saline,6.43,161,48,225,Yes,Yes,9.0,Spring,7.13
Fergana,Cotton,251,33.9,56,Black,6.76,65,52,239,Yes,Yes,9.4,Summer,8.52
